Day,Month,Year,Valor COLCAP,Variacion absoluta,Variacion porcentual
15,7,2009,1090.85,1.61,0.001478
16,7,2009,1092.88,2.03,0.001861
17,7,2009,1104.86,11.98,0.010962
21,7,2009,1113.97,9.11,0.008245
22,7,2009,1120.17,6.2,0.005566
23,7,2009,1141.9,21.73,0.019399
24,7,2009,1146.58,4.68,0.004098
27,7,2009,1143.37,-3.21,-0.0028
28,7,2009,1126.75,-16.62,-0.014536
29,7,2009,1122.62,-4.13,-0.003665
30,7,2009,1147.57,24.95,0.022225
31,7,2009,1156.22,8.65,0.007538
3,8,2009,1165.42,9.2,0.007957
4,8,2009,1168.2,2.78,0.002385
5,8,2009,1162.95,-5.25,-0.004494
6,8,2009,1169.26,6.31,0.005426
10,8,2009,1174.71,5.45,0.004661
11,8,2009,1162.53,-12.18,-0.010369
12,8,2009,1171.32,8.79,0.007561
13,8,2009,1179.38,8.06,0.006881
14,8,2009,1180.48,1.1,0.000933
18,8,2009,1176.17,-4.31,-0.003651
19,8,2009,1181.11,4.94,0.0042
20,8,2009,1192.34,11.23,0.009508
21,8,2009,1202.28,9.94,0.008337
24,8,2009,1229.85,27.57,0.022931
25,8,2009,1227.18,-2.67,-0.002171
26,8,2009,1218.39,-8.79,-0.007163
27,8,2009,1210.09,-8.3,-0.006812
28,8,2009,1214.38,4.29,0.003545
31,8,2009,1209.09,-5.29,-0.004356
1,9,2009,1178.87,-30.22,-0.024994
2,9,2009,1182.83,3.96,0.003359
3,9,2009,1173.66,-9.17,-0.007753
4,9,2009,1192.55,18.89,0.016095
7,9,2009,1200.04,7.49,0.006281
8,9,2009,1219.62,19.58,0.016316
9,9,2009,1219.9,0.28,0.00023
10,9,2009,1218.36,-1.54,-0.001262
11,9,2009,1216.22,-2.14,-0.001756
14,9,2009,1212.53,-3.69,-0.003034
15,9,2009,1244.75,32.22,0.026573
16,9,2009,1248.69,3.94,0.003165
17,9,2009,1245.88,-2.81,-0.00225
18,9,2009,1269.97,24.09,0.019336
21,9,2009,1266.91,-3.06,-0.00241
22,9,2009,1276.57,9.66,0.007625
23,9,2009,1288.14,11.57,0.009063
24,9,2009,1290.81,2.67,0.002073
25,9,2009,1305.32,14.51,0.011241
28,9,2009,1331.9,26.58,0.020363
29,9,2009,1321.32,-10.58,-0.007944
30,9,2009,1328.93,7.61,0.005759
1,10,2009,1315.15,-13.78,-0.010369
2,10,2009,1318.92,3.77,0.002867
5,10,2009,1335.49,16.57,0.012563
6,10,2009,1356.57,21.08,0.015784
